"","x"
"1","00083"
"2","10001"
"3","10002"
"4","10003"
"5","10004"
"6","10005"
"7","10006"
"8","10007"
"9","10009"
"10","10010"
"11","10011"
"12","10012"
"13","10013"
"14","10014"
"15","10016"
"16","10017"
"17","10018"
"18","10019"
"19","10020"
"20","10021"
"21","10022"
"22","10023"
"23","10024"
"24","10025"
"25","10026"
"26","10027"
"27","10028"
"28","10029"
"29","10030"
"30","10031"
"31","10032"
"32","10033"
"33","10034"
"34","10035"
"35","10036"
"36","10037"
"37","10038"
"38","10039"
"39","10040"
"40","10041"
"41","10043"
"42","10044"
"43","10045"
"44","10047"
"45","10048"
"46","10055"
"47","10065"
"48","10069"
"49","10075"
"50","10080"
"51","10081"
"52","10096"
"53","10097"
"54","10103"
"55","10104"
"56","10105"
"57","10106"
"58","10107"
"59","10110"
"60","10111"
"61","10112"
"62","10115"
"63","10118"
"64","10119"
"65","10120"
"66","10121"
"67","10122"
"68","10123"
"69","10128"
"70","10151"
"71","10152"
"72","10153"
"73","10154"
"74","10155"
"75","10158"
"76","10162"
"77","10165"
"78","10166"
"79","10167"
"80","10168"
"81","10169"
"82","10170"
"83","10171"
"84","10172"
"85","10173"
"86","10174"
"87","10175"
"88","10176"
"89","10177"
"90","10178"
"91","10196"
"92","10203"
"93","10259"
"94","10260"
"95","10265"
"96","10270"
"97","10271"
"98","10275"
"99","10278"
"100","10279"
"101","10280"
"102","10281"
"103","10282"
"104","10285"
"105","10286"
"106","10301"
"107","10302"
"108","10303"
"109","10304"
"110","10305"
"111","10306"
"112","10307"
"113","10308"
"114","10309"
"115","10310"
"116","10312"
"117","10314"
"118","10451"
"119","10452"
"120","10453"
"121","10454"
"122","10455"
"123","10456"
"124","10457"
"125","10458"
"126","10459"
"127","10460"
"128","10461"
"129","10462"
"130","10463"
"131","10464"
"132","10465"
"133","10466"
"134","10467"
"135","10468"
"136","10469"
"137","10470"
"138","10471"
"139","10472"
"140","10473"
"141","10474"
"142","10475"
"143","11001"
"144","11004"
"145","11005"
"146","11040"
"147","11096"
"148","11101"
"149","11102"
"150","11103"
"151","11104"
"152","11105"
"153","11106"
"154","11109"
"155","11201"
"156","11203"
"157","11204"
"158","11205"
"159","11206"
"160","11207"
"161","11208"
"162","11209"
"163","11210"
"164","11211"
"165","11212"
"166","11213"
"167","11214"
"168","11215"
"169","11216"
"170","11217"
"171","11218"
"172","11219"
"173","11220"
"174","11221"
"175","11222"
"176","11223"
"177","11224"
"178","11225"
"179","11226"
"180","11228"
"181","11229"
"182","11230"
"183","11231"
"184","11232"
"185","11233"
"186","11234"
"187","11235"
"188","11236"
"189","11237"
"190","11238"
"191","11239"
"192","11251"
"193","11354"
"194","11355"
"195","11356"
"196","11357"
"197","11358"
"198","11359"
"199","11360"
"200","11361"
"201","11362"
"202","11363"
"203","11364"
"204","11365"
"205","11366"
"206","11367"
"207","11368"
"208","11369"
"209","11370"
"210","11371"
"211","11372"
"212","11373"
"213","11374"
"214","11375"
"215","11377"
"216","11378"
"217","11379"
"218","11385"
"219","11411"
"220","11412"
"221","11413"
"222","11414"
"223","11415"
"224","11416"
"225","11417"
"226","11418"
"227","11419"
"228","11420"
"229","11421"
"230","11422"
"231","11423"
"232","11426"
"233","11427"
"234","11428"
"235","11429"
"236","11430"
"237","11432"
"238","11433"
"239","11434"
"240","11435"
"241","11436"
"242","11451"
"243","11691"
"244","11692"
"245","11693"
"246","11694"
"247","11697"
